unit,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
CLV10_EUR_HAB,B1GQ,AL	1700 	1850 	1940 	2060 	2180 	2310 	2460 	2630 	2850 d	2960 	3090 	3180 	3230 	3260 d	3330 	3410 	3530 	3670 	3830 	3920 	3810 p	: 	: 
CLV10_EUR_HAB,B1GQ,AT	31710 	31990 	32360 	32520 	33200 	33710 	34700 	35870 	36280 	34830 	35390 	36300 	36390 	36180 	36130 	36140 	36390 	36980 	37690 	38090 	35480 	36950 	38340 
CLV10_EUR_HAB,B1GQ,BE	29890 	30110 	30490 	30680 	31640 	32200 	32800 	33760 	33640 	32700 	33330 	33460 	33490 	33490 	33870 	34360 	34620 	35050 	35510 	36120 	34020 p	36010 p	36860 p
CLV10_EUR_HAB,B1GQ,BG	2990 	3210 	3420 	3620 	3870 	4170 	4480 	4800 	5120 	4970 	5080 	5320 	5390 	5390 	5470 	5700 	5910 	6120 	6330 	6630 	6410 	6950 	7250 p
CLV10_EUR_HAB,B1GQ,CH	51950 	52510 	52100 	51700 	52750 	53880 	55730 	57400 	58310 	56340 	57730 	58220 	58290 	58650 	59300 	59600 	60170 	60420 	61690 	61950 	60040 	62100 	62820 
CLV10_EUR_HAB,B1GQ,CY	20130 	20700 	21230 	21520 	22300 	23050 	23740 	24420 	24680 	23550 	23460 	22970 	21840 	20450 	20310 	21120 	22410 	23470 	24500 	25500 	24120 	25480 p	26550 p
CLV10_EUR_HAB,B1GQ,CZ	11230 	11620 	11830 	12260 	12840 	13650 	14530 	15250 	15500 	14690 	15020 	15310 	15170 	15160 	15480 	16290 	16670 	17490 	17990 	18460 	17400 	18020 	18470 
CLV10_EUR_HAB,B1GQ,DE	28910 	29370 	29290 	29100 	29470 	29730 	30930 	31920 	32320 	30580 	31940 	33200 	33280 	33330 	33920 	34130 	34610 	35410 	35650 	35950 p	34590 p	35480 p	35870 p
CLV10_EUR_HAB,B1GQ,DK	42190 	42390 	42430 	42490 	43520 	44400 	45990 	46210 	45700 	43220 	43840 	44240 	44170 	44410 	44890 	45630 	46720 	47740 	48450 	48970 	47890 	50010 	51460 
CLV10_EUR_HAB,B1GQ,EA19	26490 	26980 	27090 	27120 	27590 	27900 	28670 	29370 	29340 	27930 	28460 	28870 	28560 	28440 	28790 	29280 	29730 	30440 	30910 	31300 	29340 	30900 	31830 
CLV10_EUR_HAB,B1GQ,EA20	26240 	26740 	26850 	26890 	27360 	27670 	28440 	29140 	29120 	27720 	28240 	28640 	28330 	28220 	28560 	29060 	29510 	30220 	30680 	31080 	29140 	30710 	31640 
CLV10_EUR_HAB,B1GQ,EE	7540 	8040 	8640 	9350 	10050 	11070 	12230 	13230 	12590 	10770 	11060 	11890 	12320 	12540 	12960 	13230 	13620 	14410 	14920 	15410 	15280 	16490 	16250 
CLV10_EUR_HAB,B1GQ,EL	17430 	18050 	18690 	19730 	20670 	20740 	21840 	22500 	22370 	21350 	20150 b	18130 	16940 	16630 	16830 	16900 	16890 	17110 	17430 	17780 	16210 p	17670 p	18830 p
CLV10_EUR_HAB,B1GQ,ES	21460 	22190 	22430 	22680 	23020 	23420 	24000 	24380 	24200 	23100 	23040 	22770 	22080 	21850 	22220 	23090 	23780 	24440 	24890 	25180 	22210 p	23450 p	24580 p
CLV10_EUR_HAB,B1GQ,EU27_2020	22450 	22900 	23100 	23210 	23710 	24070 	24820 	25510 	25590 	24410 	24900 	25330 	25110 	25060 	25430 	25950 	26410 	27110 	27620 	28050 	26440 	27900 	28820 
CLV10_EUR_HAB,B1GQ,EU28	22990 	23470 	23710 	23930 	24430 	24830 	25570 	26230 	26250 	25040 	25520 	25910 	25750 	25770 	26180 	26700 	27140 	27800 	28270 	28680 	: 	: 	: 
CLV10_EUR_HAB,B1GQ,FI	30510 	31230 	31690 	32250 	33440 	34250 	35490 	37210 	37330 	34150 	35080 	35810 	35140 	34660 	34390 	34460 	35330 	36380 	36740 	37150 	36220 	37250 	37920 
CLV10_EUR_HAB,B1GQ,FR	28930 	29290 	29410 	29440 	30050 	30320 	30850 	31400 	31310 	30250 	30690 	31210 	31160 	31170 	31320 	31540 	31770 	32360 	32800 	33250 	30630 	32490 p	33180 p
CLV10_EUR_HAB,B1GQ,HR	7940 	8510 b	9000 	9500 	9890 	10310 	10810 	11350 	11580 	10760 	10650 	10680 	10460 	10450 	10460 	10790 	11270 	11770 	12220 	12710 	11680 	13510 p	14540 e
CLV10_EUR_HAB,B1GQ,HU	7910 	8250 	8670 	9050 	9520 	9950 	10360 	10410 	10530 	9850 	9980 	10190 	10120 	10330 	10790 	11220 	11500 	12020 	12690 	13310 	12730 	13710 p	14370 p
CLV10_EUR_HAB,B1GQ,IE	33280 	34510 	35910 	36390 	38190 	39480 	40390 	41270 	38580 	36270 	36710 	36860 	36710 	36940 	39860 	49110 	49540 	53400 	57260 	59560 	62570 	70530 	77490 
CLV10_EUR_HAB,B1GQ,IS	28570 	29310 	29220 	29670 	31620 	33190 	34310 	36360 	36230 	33480 	32650 	33150 	33330 	34510 	34710 	35870 	37610 	38280 	39090 	38920 	35520 	36460 	37850 
CLV10_EUR_HAB,B1GQ,IT	27430 	27950 	27960 	27850 	28040 	28100 	28490 	28740 	28250 	26600 	26940 	27030 	26160 	25620 	25620 	25860 	26240 	26730 	27030 	27230 	24910 	26780 	27860 
CLV10_EUR_HAB,B1GQ,LT	5230 	5620 	6050 	6740 	7270 	7960 	8690 	9770 	10130 	8720 	9050 	9820 	10330 	10810 	11290 	11620 	12070 	12760 	13400 	14060 	14050 	14820 	14970 
CLV10_EUR_HAB,B1GQ,LU	72530 	73930 	75500 	76510 	78660 	79370 	82860 	88120 	86330 	82020 	83550 	82490 	81940 	82400 	82590 	82820 	84750 	84020 	83390 	83590 	81660 	84490 	83940 p
CLV10_EUR_HAB,B1GQ,LV	5250 	5650 	6120 	6700 	7340 	8210 	9280 	10280 	10050 	8760 	8550 	8940 	9680 	9980 	10270 	10760 	11110 	11590 	12140 	12540 	12330 	12980 	13320 
CLV10_EUR_HAB,B1GQ,ME	: 	: 	: 	: 	: 	: 	4580 	4890 	5230 	4920 	5050 	5200 	5060 	5230 	5320 	5500 	5660 	5920 	6230 	6480 	5490 	6230 	: 
CLV10_EUR_HAB,B1GQ,MK	2620 e	2530 e	2580 e	2630 e	2750 e	2870 e	3010 e	3200 e	3370 e	3350 e	3460 e	3530 e	3510 e	3610 e	3740 e	3870 e	3980 e	4020 e	4130 e	4290 e	4100 e	: 	: 
CLV10_EUR_HAB,B1GQ,MT	13750 	13480 	13730 	14200 	14120 	14510 	14820 	15470 	15960 	15660 	16440 	16450 	16970 	17650 	18610 	19920 	20130 	21700 	22300 	22900 	20480 	22750 	23810 
CLV10_EUR_HAB,B1GQ,NL	35060 	35610 	35460 	35350 	35920 	36570 	37780 	39120 	39810 	38160 	38470 	38880 	38340 	38180 	38580 	39170 	39810 	40730 	41450 	41980 	40130 p	41860 p	43310 p
CLV10_EUR_HAB,B1GQ,NO	62040 	63000 	63530 	63750 	65920 	67240 	68330 	69600 	69070 	66880 	66580 	66440 	67350 	67220 	67830 	68390 	68580 	69720 	69840 	70150 	68850 	71150 	72820 
CLV10_EUR_HAB,B1GQ,PL	6450 	6530 	6660 	6900 	7250 	7510 	7970 	8540 	8900 	9060 	9320 	9790 	9940 	10030 	10420 	10890 	11220 	11800 	12500 	13070 	12810 	13770 	14600 b
CLV10_EUR_HAB,B1GQ,PT	16230 	16430 	16470 	16250 	16500 	16600 	16840 	17230 	17260 	16710 	16990 	16720 	16110 	16050 	16260 	16620 	17010 	17650 	18190 	18670 	17100 	18060 p	19290 p
CLV10_EUR_HAB,B1GQ,RO	: c	: c	4350 	4470 	4970 b	5230 	5690 	6190 	6880 	6550 	6340 	6650 	6810 	6860 	7160 	7420 	7680 	8360 	8910 	9300 	9020 	9610 p	10110 p
CLV10_EUR_HAB,B1GQ,RS	2650 	2840 	3020 	3160 	3460 	3660 	3860 	4130 	4380 	4280 	4330 	4450 	4440 	4590 	4540 	4640 	4820 	4950 	5200 	5460 	5440 	5910 	6100 p
CLV10_EUR_HAB,B1GQ,SE	33960 	34360 	35000 	35680 	37080 	37990 	39540 	40590 	40100 	38030 	39950 	40920 	40380 	40510 	41180 	42580 	42920 	43430 	43760 	44180 	42910 	45280 	46250 
CLV10_EUR_HAB,B1GQ,SI	13980 	14410 	14900 	15330 	15990 	16570 	17460 	18570 	19190 b	17570 	17750 	17870 	17360 	17160 	17620 	17990 	18550 	19440 	20240 	20770 	19740 	21310 	22450 
CLV10_EUR_HAB,B1GQ,SK	7780 	8060 	8430 	8890 	9360 	9970 	10800 	11960 	12610 	11890 	12660 	13080 	13230 	13300 	13640 	14340 	14590 	15000 	15580 	15950 	15400 	16210 	16300 
CLV10_EUR_HAB,B1GQ,TR	6130 	5700 	5990 	6260 	6790 	7310 	7720 	8010 	7980 	7490 	8000 	8760 	9070 	9710 	10050 	10520 	10730 	11380 	11560 	11490 	11600 	12800 	: 
CLV10_EUR_HAB,B1GQ,UK	27130 	27770 	28250 	29060 	29560 	30210 	30810 	31280 	30940 	29460 	29830 	29960 	30190 	30660 	31290 	31780 	32060 	32430 	32640 	32910 	: 	: 	: 
CLV_PCH_PRE_HAB,B1GQ,AL	7.7 	8.9 	4.9 	5.9 	6.0 	6.1 	6.6 	6.8 	8.3 d	4.1 d	4.2 	2.8 	1.6 	1.2 d	2.0 d	2.5 	3.5 	3.9 	4.3 	2.5 	-2.9 p	: 	: 
CLV_PCH_PRE_HAB,B1GQ,AT	3.1 	0.9 	1.2 	0.5 	2.1 	1.5 	2.9 	3.4 	1.1 	-4.0 	1.6 	2.6 	0.2 	-0.6 	-0.1 	0.0 	0.7 	1.6 	1.9 	1.1 	-6.9 	4.2 	3.7 
CLV_PCH_PRE_HAB,B1GQ,BE	3.5 	0.7 	1.3 	0.6 	3.1 	1.8 	1.9 	2.9 	-0.3 	-2.8 	1.9 	0.4 	0.1 	0.0 	1.1 	1.5 	0.8 	1.2 	1.3 	1.7 	-5.8 p	5.8 p	2.4 p
CLV_PCH_PRE_HAB,B1GQ,BG	5.1 	7.2 	6.5 	5.8 	7.1 	7.6 	7.4 	7.2 	6.6 	-2.9 	2.2 	4.7 	1.3 	0.0 	1.5 	4.1 	3.8 	3.5 	3.4 	4.8 	-3.4 	8.5 	4.2 p
CLV_PCH_PRE_HAB,B1GQ,CH	3.4 	1.1 	-0.8 	-0.8 	2.0 	2.1 	3.4 	3.0 	1.6 	-3.4 	2.5 	0.9 	0.1 	0.6 	1.1 	0.5 	1.0 	0.4 	2.1 	0.4 	-3.1 	3.4 	1.2 
CLV_PCH_PRE_HAB,B1GQ,CY	4.9 	2.8 	2.5 	1.4 	3.6 	3.4 	3.0 	2.9 	1.1 	-4.6 	-0.4 	-2.1 	-4.9 	-6.4 	-0.7 	4.0 	6.1 	4.8 	4.4 	4.1 	-5.4 	5.6 p	4.2 p
